key,dG_kcal_mol,status,protein,cys_residue,distance_A,note,catalytic_residue
A17_45_adipate semialdehyde,-6.56,OK,A17,Cys288,2.057,aldehyde detected,
A17_46_Succinic semialdehyde,-6.09,OK,A17,Cys288,3.818,aldehyde detected,
A17_47_methylmalonate semialdehyde,-6.16,OK,A17,Cys288,17.664,aldehyde detected,
A17_48_alpha-aminoadipate semialdehyde,-6.61,OK,A17,Cys288,12.081,aldehyde detected,
A17_49_2-Aminomuconic semialdehyde,-5.78,OK,A17,Cys288,17.099,aldehyde detected,
A17_4_malonaldehyde,-5.66,OK,A17,Cys288,30.459,aldehyde detected,
A17_4_malonaldehyde,-5.66,OK,A17,Cys288,30.665,aldehyde detected,
A17_50_10-formyltetrahydrofolate,,OK,A17,Cys288,,"no aldehyde detected, using closest C",
A17_51_6R-Tetrahydrofolic acid,-7.83,OK,A17,Cys288,15.668,aldehyde detected,
A17_51_6R-Tetrahydrofolic acid,-7.83,OK,A17,Cys288,5.841,aldehyde detected,
A17_52_Triose phosphate,-5.69,OK,A17,Cys288,12.693,aldehyde detected,
A17_52_Triose phosphate,-5.69,OK,A17,Cys288,13.968,aldehyde detected,
A17_52_Triose phosphate,-5.69,OK,A17,Cys288,15.042,aldehyde detected,
A17_53_Pyridoxal phosphate,-6.55,OK,A17,Cys288,12.845,aldehyde detected,
A17_53_Pyridoxal phosphate,-6.55,OK,A17,Cys288,15.466,aldehyde detected,
A17_53_Pyridoxal phosphate,-6.55,OK,A17,Cys288,15.719,aldehyde detected,
A17_55_Ethanol,-5.7,OK,A17,Cys288,19.067,aldehyde detected,
A17_56_S-hydroxy-methylglutathione,-7.8,OK,A17,Cys288,5.792,aldehyde detected,
A17_56_S-hydroxy-methylglutathione,-7.8,OK,A17,Cys288,7.683,aldehyde detected,
A17_56_S-hydroxy-methylglutathione,-7.8,OK,A17,Cys288,5.017,aldehyde detected,
A17_57_S-3-oxopropylglutathione,-7.97,OK,A17,Cys288,6.937,aldehyde detected,
A17_57_S-3-oxopropylglutathione,-7.97,OK,A17,Cys288,7.693,aldehyde detected,
A17_57_S-3-oxopropylglutathione,-7.97,OK,A17,Cys288,3.034,aldehyde detected,
A17_58_S-(4-oxobutan-2-yl)glutathione,-8.23,OK,A17,Cys288,3.313,aldehyde detected,
A17_58_S-(4-oxobutan-2-yl)glutathione,-8.23,OK,A17,Cys288,3.926,aldehyde detected,
A17_58_S-(4-oxobutan-2-yl)glutathione,-8.23,OK,A17,Cys288,3.666,aldehyde detected,
A17_59_4-Hydroxynonenal_glutathione,-9.53,OK,A17,Cys288,6.472,aldehyde detected,
A17_59_4-Hydroxynonenal_glutathione,-9.53,OK,A17,Cys288,10.144,aldehyde detected,
A17_5_butyraldehyde,-6.17,OK,A17,Cys288,2.669,aldehyde detected,
A17_60_S-Formylglutathione,-7.12,OK,A17,Cys288,9.167,aldehyde detected,
A17_60_S-Formylglutathione,-7.12,OK,A17,Cys288,8.694,aldehyde detected,
A17_60_S-Formylglutathione,-7.12,OK,A17,Cys288,4.171,aldehyde detected,
A17_6_amylaldehyde,-6.26,OK,A17,Cys288,3.4,aldehyde detected,
A17_7_glutaraldehyde,-6.4,OK,A17,Cys288,13.109,aldehyde detected,
A17_7_glutaraldehyde,-6.4,OK,A17,Cys288,11.747,aldehyde detected,
A17_8_hexanal,-6.6,OK,A17,Cys288,2.02,aldehyde detected,
